Comentario,type,date,gid,ciudad,calle1,calle2,modo,fuente,link,responsabl,gravedad,victimasex,victimaeda,fuente2,nombre,seguimient,hora,placa,vehiculo,fuente1,calle,calle3,condicion,placas,liga,municipio,bicicleta,nota,otro,victima
Muere persona atropellada  en Prolongación División del Norte cerca de Guadalupe I Ramírez. - Transita Seguro,Incidente vial,2018-01-03,"4805",,División del Norte,Guadalupe I Ramírez,peaton,https://twitter.com/JerrxG13/status/948256145835044864,,,mortal,,,,,,10:14,,,,,,,,,,,,,
"Servicios de emergencia se dirigen a Circunvalación y San Pablo, col. Centro, por reporte de persona atropellada.-Transita Seguro",Incidente vial,2018-01-02,"4806",,Cicunvalación,San Pablo,peaton,https://twitter.com/MrElDiablo8/status/948320429852282882,,,,,,,,Servicios de emergencia asisten al sitio,14:49,,,,,,,,,,,,,
"Persona atropellada en Tlalpan y Fray Pedro de Gante, de sur a norte.- Transita Seguro",Incidente vial,2018-01-02,"4807",,Calzada Tlalpan,Fray Pedro de Gante,peaton,https://twitter.com/peaton_anonimo/status/948374523488980992,,,,,,,,,18:04,,,,,,,,,,,,,
"Hombre de la 3ra edad Gravemente LESIONADO tras ser ATROPELLADO en km24 de carretera Mex-Cuernavaca; fue TRASLADADO en “Cóndor” a Hospital Xoco. - Transita Seguro",Incidente vial,2018-01-02,"4808",,Carretera México - Cuernavaca km 24,Sin datos,peaton,https://twitter.com/JerrxG13/status/948262427824738304,,,Grave,,65 o más,,,Trasladado a hospital,10:39,,,,,,,,,,,,,
"Persona atropellada en Av. Centenario, entre Loma Nueva y Mejía Delgado - Transita Seguro",Incidente vial,2018-01-11,"4840",,Avenida Centenario,Mejía Delgado,peatón,https://twitter.com/ApoyoVial/status/951460796780834816,,,,,,,,,6:28,,,,,,,,,,,,,
Persona atropellada en Poniente 150 y Maravillas - Transita Seguro,Incidente vial,2018-01-11,"4841",,Poniente 150,Maravillas,peatón,https://twitter.com/ApoyoVial/status/951510018318315522,,,,,,,,,9:44,,,,,,,,,,,,,
Movilización de servicios de emergencia en la Av. Insurgentes y Calz. Ticomán por un menor atropellado - Transita Seguro,Incidente vial,2018-01-11,"4842",,Avenida Insurgentes,Calzada Ticomán,peatón,https://twitter.com/RedVialRC/status/951563925589581826,,,,,"10",,,,,,,,,,,,,,,,,
Mujer ATROPELLADA en Bolivar y Viaducto es atendida por ambulancia - Transita Seguro,Incidente vial,2018-01-11,"4843",,Simón Bolivar,Viaducto Miguel Aleman,peatón,https://twitter.com/JerrxG13/status/951568095457566720,,,,mujer,,https://twitter.com/RedVialRC/status/951564516965408768,,,13:20,,,,,,,,,,,,,
Servicios de emergencia atienden persona atropellada en la Av. San Fernando y calle 11 Mártires - Transita Seguro,Incidente vial,2018-01-11,"4844",,San Fernando,calle 11 Mártires,peatón,https://twitter.com/RedVialRC/status/951595660394074113,,,,,,,,,15:24,,,,,,,,,,,,,
"Hay un atropellado y descuartizado en periférico sur a la altura del tianguis de carros, altura de la esca del ipn - Transita Seguro",Incidente vial,2018-01-11,"4845",,Periférico Sur,Kioto,peatón,https://twitter.com/DiegoAlonso221/status/951701235492704258,,,mortal,,,https://twitter.com/RayoKiiKiin/status/951703256455110656,,,22:23,,,,,,,,,,,,,
Persona atropellada en Dakota y Philadelphia - Transita Seguro,Incidente vial,2018-01-12,"4846",,Dakota,Philadelphia,peatón,https://twitter.com/jazluve2/status/951952423320465408,,,,,,,,,15:01,,,,,,,,,,,,,
"MUERE Luis Edgar Verde Zaragoza, 30 años, en Av Cuauhtémoc y División del Norte, ciclista choca con motociclista en una BMW, pero al caer auto Nisan Tida le pasa encima y se fuga - Transita Seguro",Incidente vial,2018-01-12,"4847",,Avenida Cuauhtémoc,Avenida Universidad,ciclista,https://twitter.com/xtrevi/status/952663206710972416,http://www.milenio.com/df/ciclista-atropellado-muerte-luis-edgar-homenaje-seguridad-cuauhtemoc-division-norte_0_1106289743.html,moto y Auto,mortal,hombre,"30",https://twitter.com/JerrxG13/status/952068368365948931,,,22:42,,moto BMW y auto Nisan Tida,,,,,,,,,,,
"Hola, acabo de ver una persona atropellada en av. prolongación división del norte y calle contorno majuelos en Xochimilco via gustavrp - Transita Seguro",Incidente vial,2018-01-13,"4848",,Avenida prolongación división del norte,contorno majuelos,peatón,https://twitter.com/bicivan/status/952322778404933638,,,,,,,,,15:33,,,,,,,,,,,,,
"Ambulancia para Enrique Rebsamen y Luz Saviñon, persona atropellada (tocar el num 1152) - Transita Seguro",Incidente vial,2018-01-13,"4849",,Enrique Rebsamen,Luz Saviñon,peatón,https://twitter.com/karipachsanz/status/952245440761778176,,,,,,,,,10:26,,,,,,,,,,,,,
"19:46 hrs, atropellado (Z3) Cuitláhuac y Poniente 44, Clavería CDMX",Incidente vial,2018-01-16,"5410",,Cuitláhuac,Poniente 44,Peaton,https://twitter.com/peaton_anonimo/status/953466618604150784,,,,,,,,,19:18,,,,,,,,,,,,,
Persona atropellada en Persona atropellada en San Isidro Alto Lerma e Ingomar. Precaución. Ceda el Paso.e Ingomar. Precaución. Ceda el Paso.,Incidente vial,2018-01-03,"5323",,Persona atropellada en San Isidro Alto Lerma e Ingomar. Precaución. Ceda el Paso.,Ingomar,Peaton,https://twitter.com/ApoyoVial/status/948669567773134849,,,,,,,,,,,,,,,,,,,,,,
Movilización de servicios de emergencia por atropellado en Patriotismo al cruce con el Eje 6 Sur.,Incidente vial,2018-01-03,"5324",,Patriotismo,Eje 6 Sur,Peaton,https://twitter.com/RedVialRC/status/948673011414110209,,,,,,,,Movilización de servicios de emergencia,,,,,,,,,,,,,,
"ATROPELLA y MATA a una persona CAFRE de CDMX_Semovi ; los INTOCABLES, a los que LES PERDONAN las FOTO-MULTAS..*Av San Bernabé y Cruz Verde",Incidente vial,2018-01-03,"5325",,Av San Bernabé,Cruz Verde,Peaton,https://twitter.com/JerrxG13/status/948731351359983616,,autobús,mortal,,,https://twitter.com/TIGRE985/status/948730277798531073,,Unidades de apoyo en lugar,17:42,,,,,,,,,,,,,
"San jerónimo en la del. Magdalena Contreras , este maldito cafre atropella a esta persona y fallece en el lugar!! Otra mas de estos pinches hambriados del transporte publico.",Incidente vial,2018-01-03,"5329",,San Jerónimo,Magdalena Contreras,Peaton,https://twitter.com/vulcano_7/status/948754068742254593,,autobús,mortal,,,,,,19:12,,,,,,,,,,,,,
"Personal de Cruz Roja atienden a persona atropellada en Av. Central y Saturno, Col. Nueva industrial Vallejo Norte.",Incidente vial,2018-01-04,"5331",,Av. Central,Saturno,Peaton,https://twitter.com/ApoyoVial/status/948939535374839809,,,,,,,,Cruz Roja,,,,,,,,,,,,,,
"Movilización de servicios de emergencia por persona atropellada en Eje 10 Sur y Av. Revolución, en la Col. San Ángel. ¡Cede el paso!",Incidente vial,2018-01-04,"5332",,Eje 10 Sur,Av. Revolución,Peaton,https://twitter.com/RedVialRC/status/948961696818835456,,,,,,,,,8:57,,,,,,,,,,,,,
Precaución persona atropellada en Alfredo V. Bolfil y Jesús Lecuona Miguel hidalgo 3 seccion Tlalpan,Incidente vial,2018-01-04,"5333",,Alfredo V. Bolfil,Jesús Lecuona,Peaton,https://twitter.com/jgcisneros08/status/948980172627349504,,,,,,,,,10:11,,,,,,,,,,,,,
Potro atropellado esta mañana en Fray Servando Teresa de Mier esquina Congreso de La Union CDMX.,Incidente vial,2018-01-04,"5334",,Fray Servando Teresa de Mier,Congreso de La Unión,Peaton,https://twitter.com/LeinLozada/status/949037150074429440,,,,,,,,,13:57,,,,,,,,,,,,,
(1/2) Movilización de servicios de emergencia por dos personas atropelladas en Circuito Interior pasando Ejercito Nacional con dirección a Tacubaya.,Incidente vial,2018-01-04,"5335",,Circuito Interior,Ejercito Nacional,Peaton,https://twitter.com/RedVialRC/status/949094344765657088,,,,,,,,,17:44,,,,,,,,,,,,,
Movilización de servicios de emergencia por dos personas atropelladas en Circuito Interior pasando Ejercito Nacional con dirección a Tacubaya.,Incidente vial,2018-01-04,"5336",,Circuito Interior,Ejercito Nacional,Peaton,https://twitter.com/RedVialRC/status/949094344765657088,,,,,,,,,17:44,,,,,,,,,,,,,
"Persona atropellada en Darwin y Circuito Interior en Colonia Anzures, presencia policíaca.",Incidente vial,2018-01-04,"5337",,Darwin,Circuito Interior,Peaton,https://twitter.com/TIGRE985/status/949101922044338176,,,,,,,,Presencia Policíaca,18:15,,,,,,,,,,,,,
(2/2) Movilización de servicios de emergencia por dos personas #atropelladas en Circuito Interior pasando Ejercito Nacional con dirección a Tacubaya.,Incidente vial,2018-01-04,"5345",,Circuito Interior,Ejercito Nacional,Peaton,https://twitter.com/RedVialRC/status/949094344765657088,,,,,,,,,17:44,,,,,,,,,,,,,
A las 19:10 Av Insurgentes y Calle Quetzalcóatl Col Santa Isabel Tola (GAM) Z3 (atropellado) Ya se envían los apoyos de emergencia.,Incidente vial,2018-01-07,"5360",,Av. Insurgentes Norte,Quetzalcóatl,Peaton,https://twitter.com/bicivan/status/950181997518970881,,,,hombre,,,,,17:10,,,,,,,,,,,,,
"Muere menor de 11 años, que vendía dulces, atropellado en el puente vehicular Río Misisipi y Circuito Interior. El responsable escapó. SSP en el punto. Muere atropellado niño de 10 años vendedor de dulces al intentar cruzar thiers y circuito interi",Incidente vial,2018-01-04,"5347",,Río Misisipi,Circuito Interior,Peaton,https://twitter.com/MrElDiablo8/status/949106375392505856,http://www.mvsnoticias.com/#!/noticias/muere-nino-vendedor-de-dulces-al-ser-atropellado-en-la-miguel-hidalgo-cdmx-377,particular,mortal,hombre,,https://twitter.com/JAVIERR_RUIZ/status/949140081821958144,,ambulancia de la Cruz Roja Mexicana y otra de Protección Civil,18:32,,camioneta Jeep y Mercedes Benz,,,,,,,,,,,
"Una persona perdió la vida después de ser atropellada en carriles centrales de Viaducto Miguel Alemán a la altura de la avenida Cuauhtémoc y en dirección al Aeropuerto CDMX
¡Avanza a vuelta de rueda!",Incidente vial,2018-01-05,"5354",,Viaducto Miguel Alemán,Avenida Cuauhtémoc,Peaton,https://twitter.com/RedVialRC/status/949266223212236800,,,mortal,hombre,,https://twitter.com/dragon02red/status/949270227954565120,,,5:07,,,,,,,,,,,,,
Persona atropellada en la calzada del Hueso al cruce con el Eje 3 Oriente en su tramo Cafetales. ¡Cede el paso a la Cruz Roja.,Incidente vial,2018-01-05,"5355",,Calzada del Hueso,Eje 3 Oriente Av. Cafetales,Peaton,https://twitter.com/RedVialRC/status/949334363828756480,,,,,,,,,9:38,,,,,,,,,,,,,
Automovilista atropella a mujer que iba en bicicleta sobre carril confinado del metrobus en Paseo de la Reforma y Río Danubio.,Incidente vial,2018-01-05,"5356",,Paseo de la Reforma,Río Danubio,ciclista,https://twitter.com/OMAR_PATINO/status/949341886262710272,,,,,,https://twitter.com/ApoyoVial/status/949344194555973632,,,10:08,,,,,,,,,,,,,
"MUERE ATROPELLADO
Acaban de atropellar a un hombre de aproximadamente 30 años a la altura de  Ermita y Calle 39, desafortunadamente falleció de manera instantánea.",Incidente vial,2018-01-06,"5357",,Ermita Iztapalapa,Calle 39,Peaton,https://twitter.com/OpEsMx/status/949629931960651776,,,mortal,hombre,"30",,,,5:13,,,,,,,,,,,,,
"Servicios de emergencia se dirigen al cruce de Av. Guelatao y el Eje 6 Sur por persona atropellada, ¡cede el paso a SSP_CDMX y CruzRoja_MX!
",Incidente vial,2018-01-06,"5358",,Av. Guelatao,Eje 6 Sur Av. Luis Méndez,Peaton,https://twitter.com/RedVialRC/status/949799838690037760,,,,,,,,,16:28,,,,,,,,,,,,,
"Persona ATROPELLADA en Zaragoza frente al MetroCDMX Acatitla, PRECAUCIÓN!!!",Incidente vial,2018-01-06,"5359",,Calzada Ignacio Zaragoza,Metro Acatitla,Peaton,https://twitter.com/JerrxG13/status/949850826943664128,,Combie,,,,,,,19:50,,,,,,,,,,,,,
Persona atropellada sobre Congreso de la Unión en su cruce con Ángel Albino Corzo. ¡Cede el paso! CruzRoja_MX,Incidente vial,2018-01-09,"5364",,Congreso de la Unión,Ángel Albino Corzo,Peaton,https://twitter.com/RedVialRC/status/950725114538151936,,,,,,,,,5:45,,,,,,,,,,,,,
"Precaución hay una persona atropellada sobre León de los Aldama y Dolores Hidalgo, col. San Felipe de Jesús, GAM, servicios de emergencia se dirigen al punto.",Incidente vial,2018-01-09,"5369",,Av. León de los Aldama,Av. Dolores Hidalgo,Peaton,https://twitter.com/MrElDiablo8/status/950817673574678528,,,,,,,,,11:52,,,,,,,,,,,,,
Reportan persona atropellada en la calzada Acoxpa al cruce con Av. La Garita en la zona de Coapa. Servicios de emergencia ya se dirigen al lugar.,Incidente vial,2018-01-09,"5370",,Calzada Acoxpa,Av. La Garita,Peaton,https://twitter.com/RedVialRC/status/950898695393996801,,,,,,https://twitter.com/ApoyoVial/status/950900473028063232,,,17:14,,,,,,,,,,,,,
Movilización de servicios de emergencia por persona atropellada en Paseo de la Reforma a la altura de Gandhi.,Incidente vial,2018-01-09,"5371",,Paseo de la Reforma,Gandhi,Peatón,https://twitter.com/RedVialRC/status/950909578685841408,,,,,,,,,17:58,,,,,,,,,,,,,
"Ayer a las 21:55, Juan Alvarez y García Mata, atropellado, Cardonal 38, Valle Gómez, Entre iridio y vanadio.",Incidente vial,2018-01-09,"5372",,Iridio,Vanadio,Peatón,https://twitter.com/peaton_anonimo/status/951030901215023104,,,,,,,,,2:00,,,,,,,,,,,,,
"Movilización de servicios de emergencia por #atropellado en Jarciería al cruce con Panaderos, Col. Morelos.",Incidente vial,2018-01-10,"5373",,Panaderos,,Peatón,https://twitter.com/RedVialRC/status/951236691825741824,,,,,,,,,15:37,,,,,,,,,,,,,
"Reportan persona #atropellada en Eje 6 Sur  al cruce con Av. 8, ¡Cede el paso a unidades de emergencia!",Incidente vial,2018-01-09,"5374",,Eje 6 Sur,Av. 8,Peatón,https://twitter.com/RedVialRC/status/950910268921524224,,,,,,,,,18:00,,,,,,,,,,,,,
"Atropellado en Pacifico y América, cerrada la circulación de Oceanía a Ma Quevedo",Incidente vial,2018-01-14,"5393",,Pacifico,América,peaton,https://twitter.com/Assynia/status/952723256687067136,,,,,,,,,18:04,,,,,,,,,,,,,
Taxista arrolla a peatón y huye en Eje 1 Norte,Incidente vial,2018-01-13,"5380",,Eje 1 Norte,González Ortega,Peatón,https://twitter.com/MrElDiablo8/status/952297985777590278,http://www.milenio.com/estados/taxista-arrolla-peaton-huye-eje-1-norte,taxi,grave,hombre,"65",,,Traslado al hospital Balbuena,13:55,,,,,,,,,,,,,
(1/5) Enfurece Topilejo. Conductor atropella con su camioneta a 4 personas. Vecinos arremeten contra automovilista. Calle Cruz Blanca altura km 28 Mex Cuernavaca. Patrullas que acuden a la emergencia son atacadas con palos y piedras.,Incidente vial,2018-01-13,"5381",,Cruz Blanca,México - Cuernavaca,peaton,https://twitter.com/isidrocorro/status/952374075166408704,,particular,,,,,,,18:57,,,,,,ebriedad,,,,,,,
"(2/5) Conductor ATROPELLA a 5 personas en Av Cruz Blanca y testigos intentan LINCHARLO; suben patrullas y helicóptero de SSP_CDMX a San Miguel Topilejo, Tlalpan...",Incidente vial,2018-01-13,"5382",,Cruz Blanca,México - Cuernavaca,peaton,https://twitter.com/JerrxG13/status/952366383827910657,,particular,,,,,,,18:26,,camioneta,,,,ebriedad,,,,,,,
"Atropella a menor y los pobladores comienzan a golpear al conductor. 
Km 25 de la Federal a Cuernavaca piden apoyo...  Tlalpan",Incidente vial,2018-01-14,"5391",,México Cuernavaca,en el km 25,peaton,https://twitter.com/OpEsMx/status/952692797634695169,,,,hombre,"10",,,,16:03,,,,,,,,,,,,,
"Reportan persona atropellada en Prol. División del Norte al cruce con la Av. 20 de Noviembre, colonia San Marcos. 
¡Cede el paso a SSP CDMX y CruzRoja MX !",Incidente vial,2018-01-16,"5401",,Prol. División del Norte,Av. 20 de Noviembre,Peaton,https://twitter.com/RedVialRC/status/953290638019219457,,,,,,https://twitter.com/ApoyoVial/status/953297785809448960,,,7:39,,,,,,,,,,,,,
"(1/2) Amigos por favor cuídense, crucen las calles por lugares permitidos, en este momento servicios de emergencia se dirigen a Manuel Cañas y Villa franqueza,  Colonia Desarrollo Urbano Quetzalcóatl, Iztapalapa, por reporte de dos personas atropellad",Incidente vial,2018-01-16,"5402",,Manuel Cañas,Villa franqueza,Peaton,https://twitter.com/MrElDiablo8/status/953328111021711360,,,,,,,,,10:08,,,,,,,,,,,,,
"(2/2) Amigos por favor cuídense, crucen las calles por lugares permitidos, en este momento servicios de emergencia se dirigen a Manuel Cañas y Villa franqueza,  Colonia Desarrollo Urbano Quetzalcóatl, Iztapalapa, por reporte de dos personas atropellad",Incidente vial,2018-01-16,"5403",,Manuel Cañas,Villa franqueza,Peaton,https://twitter.com/MrElDiablo8/status/953328111021711360,,,,,,,,,10:08,,,,,,,,,,,,,
"atropellado (Z3) Reporte a las 14:24 sobre Eje Central y Eje 2 Norte, Col. U. H. Nonoalco Tlatelolco.",Incidente vial,2018-01-16,"5405",,Eje Central,Eje 2 Norte,Peaton,https://twitter.com/peaton_anonimo/status/953387077877600258,,,,,,,,,14:02,,,,,,,,,,,,,
Persona atropellada en Canal Nacional y Av. Santa Ana. Precaución. Ceda el Paso.,Incidente vial,2018-01-16,"5407",,Canal Nacional,Av. Santa Ana,Peaton,https://twitter.com/ApoyoVial/status/953398337138581505,,,,,,,,,,,,,,,,,,,,,,
"Una persona es atropellada sobre Sierravista al cruce con la calle  Ríobamba en la colonia Lindavista GAM 
¡Cede el paso a los servicios de emergencia!",Incidente vial,2018-01-16,"5409",,Sierravista,Ríobamba,Peaton,https://twitter.com/RedVialRC/status/953465146013306881,,,,,,,,,19:12,,,,,,,,,,,,,
"Movilización de servicios de emergencia por atropellado en la calle Jardineros al cruce con Ferrocarril de Cintura, ¡Cede el paso a unidades de emergencia!",Incidente vial,2018-01-17,"5411",,Jardineros,Ferrocarril de Cintura,Peaton,https://twitter.com/RedVialRC/status/953635345144279040,,,,,,,,,6:29,,,,,,,,,,,,,
"Servicios de emergencia atienden a persona atropellada en Reforma y Eje 2 Norte; Cruz Roja rescata a la víctima debajo de la camioneta con vida.",Incidente vial,2018-01-17,"5413",,Reforma,Eje 2 Norte,Peaton,https://twitter.com/MrElDiablo8/status/953655751435722757,,,grave,,,https://twitter.com/ApoyoVial/status/953676344772255744,,Atendido ambulancia cruz roja #30,7:50,,,,,,,,,,,,,
Persona atropellada en  Calzada Ermita Iztapalapa y Reforma Aeronáutica. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-01-17,"5415",,Calzada Ermita Iztapalapa,Reforma Aeronáutica,peaton,https://twitter.com/ApoyoVial/status/953790098885283840,,,,,,,,,16:44,,,,,,,,,,,,,
Aviso Tráfico  en zona del WTC porque camión pasajeros atropelló a una persona en Filadelfia y Dakota.  Siempre es un problema con estos camiones que se pasan los altos y echan carteristas todo el tiempo.,Incidente vial,2018-01-18,"5416",,Filadelfia,Dakota,peaton,https://twitter.com/PilarPineda_/status/954012800019501056,,autobús,,,,https://twitter.com/RedVialRC/status/954013761446334464,,,7:29,,,,,,,,,,,,,
"Un hombre murió al ser atropellado en Periférico Oriente, El Vergel iztapalapa CDMX.",Incidente vial,2018-01-19,"5418",,Periférico Oriente,Periférico Oriente colonia el Vergel,peaton,https://twitter.com/dragon02red/status/954276741081718785,,,mortal,hombre,,,,,0:57,,,,,,,,,,,,,
"(1/2) Movilización de servicios de emergencia por personas atropelladas en el Eje 6 Sur a la altura de Vista Hermosa, Iztapalapa, ¡Cede el paso a unidades de emergencia!",Incidente vial,2018-01-20,"5419",,Eje 6 Sur,Vista Hermosa,peaton,https://twitter.com/RedVialRC/status/954736060168359937,,,,,,,,,7:23,,,,,,,,,,,,,
"(2/2) Movilización de servicios de emergencia por personas atropelladas en el Eje 6 Sur a la altura de Vista Hermosa, Iztapalapa, ¡Cede el paso a unidades de emergencia!",Incidente vial,2018-01-20,"5420",,Eje 6 Sur,Vista Hermosa,peaton,https://twitter.com/RedVialRC/status/954736060168359937,,,,,,,,,7:23,,,,,,,,,,,,,
"Servicios de emergencia atienden a una persona atropellada sobre la Calle Victoria, en el Barrio Chino. Precauciones",Incidente vial,2018-01-20,"5422",,Victoria,Dolores,peaton,https://twitter.com/MrElDiablo8/status/954770690283982855,,,,,,,,,9:40,,,,,,,,,,,,,
Persona muere tras ser #atropellada sobre el Eje 3 Oriente en su cruce con la Av. Agustín Yañez. ¡Servicios de emergencia laborando en la zona! Evita el punto.,Incidente vial,2018-01-20,"5423",,Eje 3 Oriente,Av. Agustín Yañez. Calle 6,peaton,https://twitter.com/RedVialRC/status/954773836234461185,,autobús,mortal,hombre,"45",https://twitter.com/QWERTY_DAMN/status/954768198368419840,,,9:30,,,,,,,,,,,,,
