Comentario,type,date,gid,ciudad,calle1,calle2,modo,fuente,link,responsabl,gravedad,victimasex,victimaeda,fuente2,nombre,seguimient,hora,placa,vehiculo,fuente1,calle,calle3,condicion,placas,liga,municipio,bicicleta,nota,otro,victima
"Acoxpa y Miramontes, Coapa: reportan persona atropellada, servicios de emergencia en camino.",Incidente vial,2018-03-06,"5642",,Acoxpa,Miramontes,peaton,https://twitter.com/ApoyoVial/status/971128592221515776,,,,,,,,,13:01,,,,,,,,,,,,,
Atropellado por un trailer murió un jovencito que viajaba en su bicicleta por Periférico y la calle Estrella en Iztapalapa. El conductor de la pesada unidad no lo vió. QEPD. CDMX.,Incidente vial,2018-03-07,"5643",,Periférico,Estrella,ciclista,https://twitter.com/isidrocorro/status/971412458085732353,,,mortal,hombre,"15",https://twitter.com/GIGIBUCITOS/status/971399379205722112,,,7:15,,,,,,,,,,,,,
Persona atropellada en Calle 312 y Eduardo Molina. Precaución. Ceda el Paso.,Incidente vial,2018-03-07,"5646",,"312",Eduardo Molina,peaton,https://twitter.com/ApoyoVial/status/971515759959658497,,,,,,,,,14:39,,,,,,,,,,,,,
Servicios de emergencia laboran por persona atropellada en Cantera frente al Parque del Mestizaje en dirección a Insurgentes. ¡Cede el paso!,Incidente vial,2018-03-07,"5648",,Cantera,Acueducto de Guadalupe,peaton,https://twitter.com/RedVialRC/status/971554897459105794,,particular,grave,,,,,Atendido ambulancia,17:15,,,,,,,,,,,,,
Unidades de emergencia trabajan con persona atropellada en la Avenida Revolución y Dr. Gálvez en la Colonia San Ángel. PRECACUCIÓN.,Incidente vial,2018-03-08,"5649",,Av. Revolución,Dr. Gálvez,peaton,https://twitter.com/TIGRE985/status/971871421860163584,,,,,,,,Atendido ambulancia,14:12,,,,,,,,,,,,,
"Muere mujer atropellada en carriles centrales de Av. Aquiles Serdán y Rancho San Juan de Dios, Col. Prados del Rosario Azcapotzalco",Incidente vial,2018-03-09,"5650",,Av. Aquiles Serdán,Rancho San Juan de Dios,peaton,https://twitter.com/ElPolloCDMX/status/972143837895421958,http://www.milenio.com/estados/mujer-muere-atropellada-avenida-aquiles-serdan,particular,mortal,mujer,"35",https://twitter.com/ApoyoVial/status/972147373215399936,,Servicios periciales y ministerio público responsable,8:15,,,,,,,,,,,,,
Persona atropellada en cruce de calles Tacuba y Palma. Unidades de emergencia en el lugar. Precaución. Ceda el Paso.,Incidente vial,2018-03-09,"5651",,Tacuba,Palma,peaton,https://twitter.com/ApoyoVial/status/972158226241409024,,,,,,https://twitter.com/RedVialRC/status/972154348951261184,,Atendido ambulancia,8:57,,,,,,,,,,,,,
Servicios de emergencia se dirigen a Circuito Interior en su tramo Río Churubusco por persona atropellada sobre la puerta 1 del Palacio de los Deportes.,Incidente vial,2018-03-09,"5652",,Circuito Interior Río Churubusco,Puerta 1 del Palacio de los Deportes,peaton,https://twitter.com/RedVialRC/status/972210746963656705,,,,,,,,,12:41,,,,,,,,,,,,,
"Persona atropellada en el cruce de la Avenida Chapultepc y Medellín en la Colonia Roma, acuden unidades de apoyo.",Incidente vial,2018-03-08,"5653",,Av. Chapultepec,Medellín,peaton,https://twitter.com/TIGRE985/status/971912594700124160,,,,,,,,,16:56,,,,,,,,,,,,,
"La persona que atendieron en el metro Pino Suárez es un hombre, que presuntamente fue atropellado esta mañana y lo trasladaron a u. Hospital de donde se fugó. SSP y paramédicos se encargaron de él.",Incidente vial,2018-03-09,"5654",,José María Izazaga,Pino Suárez,peaton,https://twitter.com/MrElDiablo8/status/972273790163054592,,,,,,,,Traslado a hospital,15:58,,,,,,,,,,,,,
(1/2) Servicios médicos acuden al Parque Tlacoquemécatl sobre la calle Pilares en la Col. del Valle por 2 personas atropelladas. Si pasas por la zona ¡Conduce con cuidado!,Incidente vial,2018-03-09,"5655",,Pilares,Parque  Tlacoquemécatl,peaton,https://twitter.com/RedVialRC/status/972291104954601472,,,,,,,,,18:00,,,,,,,,,,,,,
(2/2) Servicios médicos acuden al Parque Tlacoquemécatl sobre la calle Pilares en la Col. del Valle por 2 personas atropelladas. Si pasas por la zona ¡Conduce con cuidado!,Incidente vial,2018-03-09,"5656",,Pilares,Parque Tlacoquemécatl,peaton,https://twitter.com/RedVialRC/status/972291104954601472,,,,,,,,,18:00,,,,,,,,,,,,,
Movilización de servicios de emergencia por persona atropellada que #fallece sobre Centenario y Martín Carrera. ¡Cede el paso!,Incidente vial,2018-03-10,"5657",,Centenario,Matín Carrera,peaton,https://twitter.com/RedVialRC/status/972521608928747520,,,mortal,,,,,,9:16,,,,,,,,,,,,,
Mujer de la 3ra edad Muere Atropellada por Transporte Publico en Martin Carrera y Av.Centenario gamadero Responsable huye.,Incidente vial,2018-03-10,"5659",,Av. Centenario,Martín Carrera,peaton,https://twitter.com/Huatoo/status/972650792170803211,,,mortal,mujer,"75",https://twitter.com/Foro_TV/status/972537592607576064,,,9:49,,,,,,,,,,,,,
"Accidente Vial se registra menor de edad Atropellado en Calle B y Puebla, cerca de la Calz. IgnacioZaragoza. ¡Cede el paso a los vehículos de #emergencia!",Incidente vial,2018-03-12,"5660",,Calle B,Ignacio Zaragoza,peaton,https://twitter.com/RedVialRC/status/973214702527549441,,,,hombre,"10",https://twitter.com/ApoyoVial/status/973215563680854016,,,8:10,,,,,,,,,,,,,
Al Momento se reporta persona atropellada en la Av. Horacio a la altura de la estación del metro Polanco. ¡Cede el paso a los vehículos de emergencia!,Incidente vial,2018-03-12,"5661",,Av. Horacio,Arquímedes Metro Polanco,peaton,https://twitter.com/RedVialRC/status/973228527108714496,,,,,,,,,9:05,,,,,,,,,,,,,
Ambulancia de Cruz Roja traslada a persona atropellada en Viaducto y Revolución al hospital Rubén Leñero.,Incidente vial,2018-03-12,"5662",,Viaducto,Revolución,peaton,https://twitter.com/MrElDiablo8/status/973317692601126913,,,,,,,,Traslado a hospital Rubén Leñero,14:59,,,,,,,,,,,,,
"En Hidalgo y Valerio Trujano servicios de emergencia atienden a una persona atropellada, precaución.",Incidente vial,2018-03-12,"5663",,Valerio Trujano,-Av. Hidalgo,peaton,https://twitter.com/MrElDiablo8/status/973340347395866624,,,,,,,,,16:29,,,,,,,,,,,,,
"Sobre calzada Ignacio Zaragoza frente a la plaza, un ciclista que circulaba por la zona, fue atropellado por un...",Incidente vial,2018-03-12,"5664",,Ignacio Zaragoza,José Trinidad Salgado (Plaza),ciclista,https://twitter.com/OpEsMx/status/973285424729817089,,,,,,,,,12:51,,,,,,,,,,,,,
Movilización de servicios de emergencia por una persona atropellada por Metrobus CDMX  sobre Insurgentes y Durango en la Col. Roma con dirección a Viaducto.,Incidente vial,2018-03-12,"5665",,Insurgentes,Durango,peaton,https://twitter.com/RedVialRC/status/973359760618741760,,metrobús,,,,,,Atendido ambulancia,17:47,,,,,,,,,,,,,
"¡Accidente! Persona atropellada en la Av. Insurgentes y el Eje 7 Sur Extremadura, cerca de la estación del metro Insurgentes Sur. ¡Cede el paso a los servicios de emergencia!",Incidente vial,2018-03-14,"5667",,Insurgentes,Eje 7 Sur Extremadura,peaton,https://twitter.com/RedVialRC/status/973993181497962506,,,,,,,,,11:44,,,,,,,,,,,,,
"Una persona fue atropellada sobre Av. Instituto Politécnico Nacional IPN al cruce con Santiago de Chile, en la colonia Residencial Zacatenco.
¡Cede el paso a los vehículos de emergencia!",Incidente vial,2018-03-15,"5668",,Av. Instituto Politécnico Nacional,Santiago de Chile,peaton,https://twitter.com/RedVialRC/status/974289254296768512,,,,,,,,,7:20,,,,,,,,,,,,,
Una persona fue atropellada por  el Metrobús sobre calzada de los Misterios a la altura de la Av. Necaxa.,Incidente vial,2018-03-15,"5669",,Calzada de los Misterios,Necaxa,peaton,https://twitter.com/RedVialRC/status/974318136785764353,,metrobús,,,,,,,9:15,,,,,,,,,,,,,
"Persona atropellada en la Av. Revolución, casi esquina con Condor col. Los Alpes. ¡Cede el paso a los servicios de emergencia!",Incidente vial,2018-03-15,"5670",,Av. Revolución,Casi esquina Condor,peaton,https://twitter.com/RedVialRC/status/974338517496139776,,,,,,https://twitter.com/ApoyoVial/status/974343619682471938,,,10:36,,,,,,,,,,,,,
Movilización de servicios de emergencia en Cafetales al cruce con Rancho Romeral Col. Hacienda de Coyoacán por persona atropellada. ¡Cede el paso!,Incidente vial,2018-03-15,"5671",,Cafetales,Rancho Romeral,peaton,https://twitter.com/RedVialRC/status/974350016797118465,,,,,,https://twitter.com/ApoyoVial/status/974350861307654144,,,11:22,,,,,,,,,,,,,
"¡Atención! Persona atropellada en Circuito Interior al cruce de Av. Thiers, ¡cede el paso a los #servicios de emergencia!",Incidente vial,2018-03-15,"5672",,Circuito interior,Av. Thiers,peaton,https://twitter.com/RedVialRC/status/974355397480976384,,,,,,,,,11:43,,,,,,,,,,,,,
"Amigos lamento informarles que la persona fallecida sobre Plutarco Elías Calles y Venustiano Carranza, en Iztacalco, perdió la vida al ser atropellado por la unidad 353 del MetrobusCDMX en una zona donde no hay paso peatonal.",Incidente vial,2018-03-15,"5673",,Plutarco Elías Calles,Venustiano Carranza,peaton,https://twitter.com/MrElDiablo8/status/974498968628580354,,metrobús,mortal,,,,,,21:13,,,,,,,,,,,,,
Servicios de emergencia atienden a una persona atropellada en el Eje 8 Sur Ermita Iztapalapa al cruce con Av. 5. ¡Cede el paso!,Incidente vial,2018-03-16,"5674",,Eje 8 Sur Ermita Iztapalapa,Av. 5,peaton,https://twitter.com/RedVialRC/status/974700922407448576,,,,,,,,Atendido ambulancia,10:36,,,,,,,,,,,,,
Servicios de emergencia se dirigen a Circuito Interior a la altura de Río Panuco por persona atropellada. ¡Cede el paso!,Incidente vial,2018-03-16,"5675",,Circuito Interior,Río Panuco,peaton,https://twitter.com/RedVialRC/status/974757643062562819,,,,,,,,,14:21,,,,,,,,,,,,,
Servicios de emergencia se dirigen a Fray Servando Teresa de Mier en su cruce con Jesús G. y Villa por persona atropellada.,Incidente vial,2018-03-16,"5676",,Fray Servando Teresa,Jesús G. y Villa,peaton,https://twitter.com/RedVialRC/status/974837183516499968,,,,,,,,,19:37,,,,,,,,,,,,,
"Desde hace una hr en el Eje 6 y Rojo Gómez iztapalapa no hay semaforos, están apagados. Por favor envíen apoyo vial hay choques y atropellado.",Incidente vial,2018-03-16,"5677",,Eje 6,Rojo Gómez,peaton,https://twitter.com/guiraani/status/974867200401027072,,,,,,,,,21:37,,,,,,,,,,,,,
(1/2) Dos personas fueron atropelladas sobre la Calz. de Guadalupe al cruce de la calle Juventino Rosas en la colonia Peralvillo.¡Cede el paso a los vehículos de emergencia!,Incidente vial,2018-03-17,"5678",,Calz. de Guadalupe,Juventino Rosas,peaton,https://twitter.com/RedVialRC/status/974991529520652289,,,,,,,,,5:51,,,,,,,,,,,,,
(2/2) Dos personas fueron atropelladas sobre la Calz. de Guadalupe al cruce de la calle Juventino Rosas en la colonia Peralvillo.¡Cede el paso a los vehículos de emergencia!,Incidente vial,2018-03-17,"5679",,Calz. de Guadalupe,Juventino Rosas,peaton,https://twitter.com/RedVialRC/status/974991529520652289,,,,,,,,,5:51,,,,,,,,,,,,,
"Ambulancia se dirige a Periférico y Av. Universidad, Col. U.H. Ejército Constitucionalista, en Del_Iztapalapa por persona atropellada.Precaución.",Incidente vial,2018-03-17,"5680",,Periférico,Av. Universidad,peaton,https://twitter.com/MrElDiablo8/status/975016161405538304,,,,,,,,,7:29,,,,,,,,,,,,,
Último minuto: Automovilistas reportan una persona atropellada por un microbús. Aún se encuentra debajo del transporte público con vida. Urge ambulancia. Acoxpa y Tlalpan.,Incidente vial,2018-03-17,"5682",,Acoxpa,Tlalpan,peaton,https://twitter.com/isidrocorro/status/975164530648109056,,,,,,,,,17:18,,,,,,,,,,,,,
Último minuto: Automovilistas reportan una persona atropellada por un microbús. Aún se encuentra debajo del transporte público con vida. Urge ambulancia. Acoxpa y Tlalpan.,Incidente vial,2018-03-17,"5683",,Acoxpa,Tlalpan,peaton,https://twitter.com/isidrocorro/status/975164530648109056,,Microbús,,,,,,,17:18,,,,,,,,,,,,,
Personal de CruzRoja_CDMX labora por persona atropellada en Av Revolución y Rey Cuauhtémoc San Ángel.,Incidente vial,2018-03-17,"5684",,Av. Revolución,Rey Cuauhtémoc,peaton,https://twitter.com/hearma/status/975223305383718912,,,,,,,,Atendido ambulancia,21:12,,,,,,,,,,,,,
Ciclista atropellado en Calz. Legaria y Lago Superior en este momento.,Incidente vial,2018-03-18,"5686",,Calzada Legaria,Lago Superior,ciclista,https://twitter.com/Cazador_Presa/status/975596538926739457,,,,,,,,,21:55,,,,,,,,,,,,,
Precaución Personal de CruzRoja_CDMX labora por persona atropellada en Av. Insurgentes frente al MetrobusCDMX Dr. Gálvez.,Incidente vial,2018-03-20,"5687",,Av. Insurgentes,Loreto,peaton,https://twitter.com/hearma/status/976193423412727814,,,,,,,,Atendido ambulancia,13:27,,,,,,,,,,,,,
"Persona atropellada sobre el Circuito Interior en su tramo Paseo de las Jacarandas a la altura de la calle Ceiba, en dirección a la Av. Insurgentes. ¡Cede el paso a los servicios de emergencia!",Incidente vial,2018-03-20,"5688",,Circuito Interior,Jacarandas,peaton,https://twitter.com/RedVialRC/status/976200275479486465,,,,,,,,,13:54,,,,,,,,,,,,,
"Persona atropellada en el cruce de Av. Insurgentes y Extremadura, acuden unidades de emergencia. PRECAUCIÓN.",Incidente vial,2018-03-20,"5689",,Av. Insurgentes,Extremadura,peaton,https://twitter.com/TIGRE985/status/976216553648619520,,,,,,,,Atendido ambulancia,14:58,,,,,,,,,,,,,
Muere atropellado un hombre sobre Anillo de Circunvalación y Alfarería. Col. Emilio Carranza en DelegacionVC,Incidente vial,2018-03-21,"5690",,Av. Circunvalación,Alfarería,peaton,https://twitter.com/MrElDiablo8/status/976430550180392961,,,mortal,hombre,"30",https://twitter.com/CoordinacionDM/status/976438345541840896,,,,,,,,,,,,,,,,
Precaución Persona atropellada en calzada Del Hueso frente a la UAM Xochimilco. Personal de emergencias laborando en el lugar.,Incidente vial,2018-03-21,"5691",,Calzada del Hueso,UAM Xochimilco,peaton,https://twitter.com/ApoyoVial/status/976471698802429953,,,,,,,,Atendido ambulancia,7:52,,,,,,,,,,,,,
"De Madrugada Un hombre murió al ser atropellado en carriles centrales de Calzada de Tlalpan, dirección Centro Histórico. Colonia Avante Coyoacán CDMX.",Incidente vial,2018-03-22,"5693",,Tlalpan,Calzada de la Virgen,peaton,https://twitter.com/dragon02red/status/976797948964196352,,,mortal,hombre,"40",https://twitter.com/MonitorCdmx/status/976813840645132288,,,5:29,,,,,,,,,,,,,
"Persona atropellada sobre Circuito Interior en su cruce con Río Misisipi, Col. Anzures. ¡Evita el punto!",Incidente vial,2018-03-22,"5695",,Circuito Interior,Río Misisipi,peaton,https://twitter.com/RedVialRC/status/976956771490324480,,,,,,,,,16:00,,,,,,,,,,,,,
"Persona atropellada sobre Playa Roqueta en su cruce con Playa Hornos, Col. Militar Marte. ¡Cede el paso!",Incidente vial,2018-03-22,"5696",,Playa Roqueta,Playa Hornos,peaton,https://twitter.com/RedVialRC/status/976967152682131457,,,,,,,,,16:41,,,,,,,,,,,,,
"¡Cede el paso a los vehículos de emergencia!
Una persona fue atropellada sobre Ferrocarril Hidalgo a la altura de cerrada de Almacenes en la colonia pueblo de Santiago Atzacoalco.",Incidente vial,2018-03-22,"5697",,Ferrocarril C. Hidalgo,Cerrada de Almacenes,peaton,https://twitter.com/RedVialRC/status/976972894617133056,,,,,,,,,17:04,,,,,,,,,,,,,
Persona atropellada en Lorenzo Boturini al cruce con Congreso de la Unión en dirección a Fray Servando Teresa de Mier. ¡Cede el paso a los vehículos de #emergencia!,Incidente vial,2018-03-22,"5698",,Lorenzo Boturini,Congreso de la Unión,peaton,https://twitter.com/RedVialRC/status/976997411473231872,,,,,,https://twitter.com/ApoyoVial/status/976998125444517888,,,18:41,,,,,,,,,,,,,
Ciclista atropellado en Calzada de Tlapan y Cádiz hacia el Sur. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-03-22,"5699",,Calzada Tlalpan,Cádiz,ciclista,https://twitter.com/ApoyoVial/status/976999297408552960,,,,,,,,,18:49,,,,,,,,,,,,,
"Servicios de emergencia atienden a ciclista atropellado por una pipa de gas, sobre Concepción Beistegui esq. Av. Cuauhtémoc Col. Narvarte.",Incidente vial,2018-03-23,"5700",,Concepción Beistegui,Av. Cuauhtémoc,ciclista,https://twitter.com/MrElDiablo8/status/977220580264087552,,,moderada,hombre,"25",,,Atendido ambulancia,9:28,,,,,,,,,,,,,
"Persona atropellada sobre la avenida Ejército Nacional, entre Lago Bangueolo y Lago Tanganica.  ¡Cede al paso a servicios de emergencia! 
",Incidente vial,2018-03-23,"5701",,Lago Bangueolo,Lago Tanganica,peaton,https://twitter.com/RedVialRC/status/977295050689400832,,,,,,,,,14:24,,,,,,,,,,,,,
"Persona atropellada sobre Paseo de la Reforma al cruce con el Eje 1 Norte en dirección a la Basílica De Guadalupe. ¡Cede el paso a los vehículos de emergencia! 
",Incidente vial,2018-03-23,"5702",,Paseo de la Reforma,Eje 1 Norte,peaton,https://twitter.com/RedVialRC/status/977328544308117504,,,,,,,,,16:37,,,,,,,,,,,,,
Mueren dos personas una lesionada que viajaban en una motocicleta atropellados por un Autos conductor y policías son golpeados en Las Armas y 23 de Abril Col. Ampl. San Pedro Xalpa. AZP CDMX,Incidente vial,2018-03-25,"5705",,Las Armas,23 de Abril,peaton,https://twitter.com/ElPolloCDMX/status/978097543589527552,,,grave,,,https://twitter.com/MrElDiablo8/status/978080252298776577,,,18:24,,,,,,,,,,,,,
Persona atropellada en Paseo de la Reforma a la altura del auditorio nacional en dirección al Circuito Interior ¡Cede el paso a los servicios de emergencia!,Incidente vial,2018-03-27,"5709",,Paseo de la Reforma,Auditorio Nacional,peaton,https://twitter.com/RedVialRC/status/978662096350208000,,,,,,https://twitter.com/ApoyoVial/status/978663064923987968,,,8:56,,,,,,,,,,,,,
Servicios de emergencia atienden a una persona atropellada en la col. Lindavista.,Incidente vial,2018-03-27,"5710",,Lindavista,Coquimbo,peaton,https://twitter.com/MrElDiablo8/status/978770125984710656,,,,,,,,,16:05,,,,,,,,,,,,,
"Amigos lamento informarles que una mujer perdió la vida al ser atropellada sobre la Calz. Ignacio Zaragoza y Calle 77 en la Col. Puebla. SSP_CDMX de encuentra en el punto. 
QEPD",Incidente vial,2018-03-29,"5713",,Calzada Ignacio Zaragoza,Calle 77,peaton,https://twitter.com/MrElDiablo8/status/979341283956314112,,,mortal,mujer,"30",https://twitter.com/ricardovitela/status/979389732865167362,,,5:55,,,,,,,,,,,,,
"¡Cede el paso a los vehículos de emergencia!
Una persona fue atropellada sobre Periférico a la altura de Río Hondo y en dirección a Ermita Iztapalapa.",Incidente vial,2018-03-29,"5714",,Periférico,Río Hondo,peaton,https://twitter.com/RedVialRC/status/979385245551259653,,,,,,,,,8:50,,,,,,,,,,,,,
"Servicios Periciales retiran el cuerpo de una persona atropellada en una gasolinera en Av. Miguel Hidalgo, col. San Miguel Ajusco. SSP continua en la zona. 
",Incidente vial,2018-03-29,"5715",,Av. Miguel Hidalgo,Gasolinera Picacho Ajusco,peaton,https://twitter.com/GaboOrtega73/status/979426296483713024,https://mvsnoticias.com/#!/noticias/hombre-muere-al-ser-atropellado-en-gasolinera-de-picacho-ajusco-728,particular,mortal,hombre,"45",https://twitter.com/MrElDiablo8/status/979427609699287042,,,11:33,,Topaz,,,,,,,,,,,
Persona Atropellada sobre el Eje 10 al cruce con San Jerónimo en dirección al Anillo Periférico. ¡Cede el paso a los servicios de emergencia!,Incidente vial,2018-03-29,"5716",,Eje 10 Sur,San Jerónimo,peaton,https://twitter.com/RedVialRC/status/979443045522386946,,,,,,,,,12:39,,,,,,,,,,,,,
"PRECAUCIÓN: Paseo de la Reforma y Mahatma Gandhi, atendemos persona atropellada.",Incidente vial,2018-03-29,"5717",,Reforma,Mahatma Gandhi,ciclista,https://twitter.com/SUUMA_CDMX/status/979783166151004161,,,moderada,hombre,"25",https://twitter.com/_atropellado/status/979790622906372096,,Atendido ambulancia,11:11,,,,,,,,,,,,,
A ver si me puede abreviar una médica por favor Me urge tenemos una persona por atropellada urge.,Incidente vial,2018-03-31,"5718",,Ojo de Agua,Av. México,peaton,https://twitter.com/JrnrvRivera/status/980200672787419138,,,grave,mujer,"65",,,,14:50,,,,,,,,,,,,,
"Persona atropellada sobre Circunvalación al cruce con Adolfo Gurrión, Col. Centro. ¡Cede el paso!",Incidente vial,2018-03-31,"5721",,Adolfo Gurrión,Circunvalación,peaton,https://twitter.com/RedVialRC/status/980129866749239296,,,,,,,,,10:09,,,,,,,,,,,,,
"Amigos lamento informarles que la persona atropellada perdió la vida, cuando caminaba por los carriles centrales de Periférico, el conductor de un BMW lo embistió. 
Autoridades investigan la causa por la que la víctima se encontraba sobre la vía rá",Incidente vial,2018-03-31,"5722",,Periférico Sur,Carriles centrales TV azteca,peaton,https://twitter.com/MrElDiablo8/status/980303310468145152,,,mortal,,,,,,21:38,,,,,,,,,,,,,
